CapID	TagNumber	SiteName	SessionNumber	TickName	OspCType	Doubts	Notes	DigPlateID	SI
424	6063	Sharon	3	424D	B	0	also 452B	Dig01	2.07420494699647
513	6063	Sharon	4	513A	B	0	also 452B	Dig01	2.12109375
513	6063	Sharon	4	513B	A	0		Dig01	1.29226736566186
513	6063	Sharon	4	513B	B	0	also 452B	Dig01	1.29226736566186
513	6063	Sharon	4	513C		0			1.75789473684211
513	6063	Sharon	4	513D		0			1.86834733893557
513	6063	Sharon	4	513E	B	0	also 452B, 288G	Dig01	1.59375
513	6063	Sharon	4	513F	B	0	also 452B, 288G	Dig01	1.21412803532009
513	6063	Sharon	4	513G	A	0	also 214G	Dig01	1.36914600550964
513	6063	Sharon	4	513G	B	0	also 452B, 288G	Dig01	1.36914600550964
513	6063	Sharon	4	513H		0			2.21343873517787
513	6063	Sharon	4	513I	A	0	also 214G	Dig01	1.39204545454545
513	6063	Sharon	4	513I	B	0	also 452B	Dig01	1.39204545454545
513	6063	Sharon	4	513I	H	0	also 499B	Dig01	1.39204545454545
513	6063	Sharon	4	513I	K	0	FH weak	Dig01	1.39204545454545
513	6063	Sharon	4	513J	A	0		Dig01	1.59528907922912
513	6063	Sharon	4	513J	B	0	also 452B, 166G	Dig01	1.59528907922912
513	6063	Sharon	4	513J	K	0		Dig01	1.59528907922912
513	6063	Sharon	4	513K	B	0	also 452B, 288G	Dig01	2.01328903654485
513	6063	Sharon	4	513L	B	0	also 452B, 288G	Dig01	1.47697974217311
513	6063	Sharon	4	513M	A	0		Dig01	1.336578581363
513	6063	Sharon	4	513M	B	0	also 452B	Dig01	1.336578581363
513	6063	Sharon	4	513N	B	0	also 452B, 166G	Dig01	1.79947229551451
513	6063	Sharon	4	513O	A	0		Dig01	1.29948586118252
513	6063	Sharon	4	513O	B	0	also 452B	Dig01	1.29948586118252
513	6063	Sharon	4	513P		0			1.38888888888889
513	6063	Sharon	4	513Q	B	0		Dig01	1.17492096944152
513	6063	Sharon	4	513Q	K	0		Dig01	1.17492096944152
513	6063	Sharon	4	513R		0			1.73629242819843
623	6063	Sharon	5	623A		0			2.3960396039604
623	6063	Sharon	5	623B	A	0		Dig01	1.89634146341463
623	6063	Sharon	5	623B	B	0	also 451B	Dig01	1.89634146341463
623	6063	Sharon	5	623C		0			1.72634271099744
623	6063	Sharon	5	623D		0			1.98201438848921
623	6063	Sharon	5	623E	B	0	also 451B	Dig01	2.02554744525547
623	6063	Sharon	5	623E	K	0		Dig01	2.02554744525547
623	6063	Sharon	5	623F	B	0	also 451B	Dig01	1.53373015873016
623	6063	Sharon	5	623G	B	0	also 451B	Dig01	1.35235378031384
